id,mmg,msg,smg,ssg,target
1,192.603238,15.920095,6.091941,4.112379,P
2,129.78894,30.909433,5.266344,7.928855,P
3,120.553308,34.053492,7.971865,8.242731,F_2
4,114.565948,36.858678,10.872777,8.918475,F_2
5,196.836365,18.799376,9.019303,4.992876,F_2
6,164.410398,26.402044,28.279761,8.267754,F_2
7,123.392466,35.566868,35.566868,9.174878,F_1
8,112.160152,40.379491,25.563423,8.572646,F_1
9,179.634578,19.521464,8.458632,4.587801,P
10,160.258896,25.698592,11.397863,4.424503,P
11,142.811984,26.365851,3.011556,6.601172,P
12,95.136347,37.055092,3.550208,12.081719,P
13,68.305439,45.758616,3.968232,12.198632,P